Date,City,Source,Tickets Sold,Revenue,Season,Num_Shows,Capacity
06-Aug-21,Edmonton,,137,"$11,450.98 ",2021,6,12000
06-Aug-21,Calgary,,239,"$21,958.06 ",2021,8,20000
07-Aug-21,Edmonton,,14,"$1,293.56 ",2021,6,12000
07-Aug-21,Calgary,,49,"$3,827.46 ",2021,8,20000
08-Aug-21,Edmonton,,21,"$1,626.34 ",2021,6,12000
08-Aug-21,Calgary,,37,"$3,441.98 ",2021,8,20000
09-Aug-21,Edmonton,,23,"$1,987.42 ",2021,6,12000
09-Aug-21,Calgary,,37,"$3,314.98 ",2021,8,20000
10-Aug-21,Edmonton,,53,"$4,859.62 ",2021,6,12000
10-Aug-21,Calgary,,184,"$15,999.36 ",2021,8,20000
11-Aug-21,Edmonton,,129,"$12,378.66 ",2021,6,12000
11-Aug-21,Calgary,,176,"$14,615.04 ",2021,8,20000
12-Aug-21,Edmonton,,18,"$1,323.72 ",2021,6,12000
12-Aug-21,Calgary,,51,"$3,743.14 ",2021,8,20000
13-Aug-21,Edmonton,,23,"$1,983.42 ",2021,6,12000
13-Aug-21,Calgary,,27,"$2,493.58 ",2021,8,20000
14-Aug-21,Calgary,,6,$417.24 ,2021,8,20000
14-Aug-21,Edmonton,,18,"$1,583.72 ",2021,6,12000
15-Aug-21,Edmonton,,4,$390.16 ,2021,6,12000
15-Aug-21,Calgary,,32,"$2,817.28 ",2021,8,20000
16-Aug-21,Edmonton,,18,"$1,529.72 ",2021,6,12000
16-Aug-21,Calgary,,32,"$2,511.28 ",2021,8,16000
17-Aug-21,Edmonton,,3,$232.62 ,2021,6,12000
17-Aug-21,Calgary,,25,"$1,984.50 ",2021,8,16000
18-Aug-21,Edmonton,,4,$150.16 ,2021,6,12000
18-Aug-21,Calgary,,18,"$1,593.72 ",2021,8,16000
19-Aug-21,Edmonton,,5,$587.70 ,2021,6,12000
19-Aug-21,Calgary,,6,$655.24 ,2021,8,16000
20-Aug-21,Calgary,,6,$377.24 ,2021,8,16000
20-Aug-21,Edmonton,,10,"$1,007.40 ",2021,6,12000
21-Aug-21,Calgary,,8,$420.32 ,2021,8,16000
21-Aug-21,Edmonton,,13,"$1,280.02 ",2021,6,12000
22-Aug-21,Edmonton,,4,$262.16 ,2021,6,12000
22-Aug-21,Calgary,,9,"$1,055.86 ",2021,8,16000
23-Aug-21,Edmonton,,7,$402.78 ,2021,6,12000
23-Aug-21,Calgary,,9,$977.86 ,2021,8,16000
24-Aug-21,Edmonton,,10,$791.40 ,2021,6,12000
24-Aug-21,Calgary,,17,"$1,818.18 ",2021,8,16000
25-Aug-21,Calgary,,19,"$1,613.26 ",2021,8,16000
25-Aug-21,Edmonton,,19,"$1,511.26 ",2021,6,12000
26-Aug-21,Calgary,,3,$280.62 ,2021,8,16000
26-Aug-21,Edmonton,,4,$374.16 ,2021,6,12000
27-Aug-21,Calgary,,11,"$1,258.94 ",2021,8,16000
27-Aug-21,Edmonton,,11,"$1,076.94 ",2021,6,12000
28-Aug-21,Edmonton,,0,$0.00 ,2021,6,12000
28-Aug-21,Calgary,,16,"$1,742.64 ",2021,8,16000
29-Aug-21,Edmonton,,8,$460.32 ,2021,6,12000
29-Aug-21,Calgary,,11,$716.94 ,2021,8,16000
30-Aug-21,Edmonton,,12,$762.48 ,2021,6,12000
30-Aug-21,Calgary,,15,"$1,121.10 ",2021,8,16000
31-Aug-21,Edmonton,,18,$999.72 ,2021,6,12000
31-Aug-21,Calgary,,21,"$2,060.34 ",2021,8,16000
01-Sep-21,Edmonton,,15,"$1,183.10 ",2021,6,12000
01-Sep-21,Calgary,,22,"$2,057.88 ",2021,8,16000
02-Sep-21,Edmonton,,9,$985.86 ,2021,6,12000
02-Sep-21,Calgary,,15,$923.10 ,2021,8,16000
03-Sep-21,Edmonton,,6,$225.24 ,2021,6,12000
03-Sep-21,Calgary,,10,$879.40 ,2021,8,16000
04-Sep-21,Edmonton,,4,$422.16 ,2021,6,12000
04-Sep-21,Calgary,,13,"$1,294.02 ",2021,8,16000
05-Sep-21,Calgary,,2,$187.08 ,2021,8,16000
05-Sep-21,Edmonton,,13,$992.02 ,2021,6,12000
06-Sep-21,Edmonton,,3,$232.62 ,2021,6,12000
06-Sep-21,Calgary,,5,$419.70 ,2021,8,16000
07-Sep-21,Calgary,,10,$635.40 ,2021,8,16000
07-Sep-21,Edmonton,,13,"$1,444.02 ",2021,6,12000
08-Sep-21,Calgary,,3,$398.62 ,2021,8,16000
08-Sep-21,Edmonton,,5,$267.70 ,2021,6,12000
09-Sep-21,Calgary,,8,$564.32 ,2021,8,16000
09-Sep-21,Edmonton,,22,"$1,524.68 ",2021,6,12000
10-Sep-21,Calgary,,4,$262.16 ,2021,8,16000
10-Sep-21,Edmonton,,4,$422.16 ,2021,6,12000
11-Sep-21,Edmonton,,9,$417.86 ,2021,6,12000
11-Sep-21,Calgary,,17,"$1,254.18 ",2021,8,16000
12-Sep-21,Calgary,,0,$0.00 ,2021,8,16000
12-Sep-21,Edmonton,,15,$683.10 ,2021,6,12000
13-Sep-21,Edmonton,,7,$542.78 ,2021,6,12000
13-Sep-21,Calgary,,8,$640.32 ,2021,8,16000
14-Sep-21,Edmonton,,0,$0.00 ,2021,6,12000
14-Sep-21,Calgary,,6,$585.24 ,2021,8,16000
15-Sep-21,Edmonton,,9,$617.86 ,2021,6,12000
15-Sep-21,Calgary,,12,"$1,208.48 ",2021,8,16000
